step,sheep,wolves,mean_theta
0,8,9,0.5
1,8.448,8,0.4
2,8.9164,7,0.45
3,9.4942,6,0.4
4,10.1147,6,0.45
5,10.8814,5,0.3667
6,11.6703,4,0.4167
7,12.5613,4,0.43
8,13.5687,3,0.45
9,14.6644,3,0.4375
10,15.9292,3,0.4167
11,17.2943,3,0.4333
12,18.7955,2,0.4
13,20.3856,2,0.4667
14,22.2223,2,0.45
15,24.2612,2,0.375
16,26.4605,2,0.425
17,28.8591,2,0.425
18,31.4752,2,0.425
19,34.3284,1,0.425
20,37.4403,1,0.425
21,40.999,1,0.45
22,44.941,1,0.35
23,49.2374,1,0.4
24,53.9174,1,0.45
25,59.0719,1,0.4
26,64.6867,1,0.45
27,70.8707,1,0.4
28,77.607,1,0.45
29,85.0262,1,0.4
30,93.108,1,0.45
31,102.0091,1,0.4
32,110,1,0.45
33,110,1,0.3
34,110,1,0.3
35,110,1,0.3
36,110,2,0.3
37,110,2,0.3
38,110,2,0.3
39,110,2,0.3
40,110,2,0.3
41,110,3,0.3
42,110,3,0.3
43,110,3,0.3333
44,110,4,0.3
45,110,4,0.3167
46,110,5,0.3825
47,110,6,0.35
48,110,6,0.36
49,110,7,0.3167
50,110,8,0.3
51,110,9,0.3614
52,110,10,0.3625
53,110,11,0.3389
54,110,12,0.305
55,110,14,0.3045
56,110,15,0.3125
57,110,18,0.3464
58,110,19,0.3567
59,110,21,0.3028
60,110,24,0.3053
61,110,27,0.3333
62,110,30,0.3167
63,110,33,0.313
64,108.8395,39,0.335
65,104.0038,47,0.3979
66,93.9601,56,0.4582
67,80.3284,63,0.474
68,64.972,68,0.4727
69,50.2429,70,0.4714
70,38.0127,69,0.4591
71,28.9855,65,0.4383
72,22.9565,60,0.4058
73,18.5477,54,0.4085
74,15.9241,48,0.3658
75,13.8556,43,0.387
76,12.6044,38,0.3604
77,11.5286,34,0.3919
78,10.9568,29,0.3579
79,10.5459,26,0.3676
80,10.4115,23,0.3534
81,10.3875,20,0.3577
82,10.5065,17,0.35
83,10.7943,15,0.33
84,11.1614,14,0.3529
85,11.5593,12,0.39
86,12.0349,11,0.3821
87,12.5831,9,0.4125
88,13.177,8,0.4364
89,13.9657,8,0.4056
90,14.8399,7,0.425
91,15.7934,6,0.4062
92,16.8515,5,0.4286
93,18.064,5,0.425
94,19.4531,5,0.42
95,20.9384,4,0.43
96,22.5485,4,0.42
97,24.3693,4,0.4375
98,26.364,3,0.4125
99,28.4929,3,0.4375
100,30.966,3,0.4
101,33.5858,3,0.4667
102,36.4456,3,0.45
103,39.569,3,0.4333
104,42.9818,3,0.4167
105,46.6654,3,0.4333
106,50.6902,3,0.4167
107,55.0344,3,0.4333
108,59.6903,3,0.4667
109,64.8058,3,0.4333
110,70.3953,3,0.4167
111,76.4281,3,0.4333
112,83.0201,3,0.4167
113,90.1349,3,0.4333
114,97.909,4,0.4167
115,106.2998,5,0.4333
116,110,5,0.425
117,110,6,0.32
118,110,6,0.28
119,110,7,0.3
120,110,8,0.3083
121,110,8,0.3214
122,110,9,0.3
123,110,10,0.3
124,110,11,0.2889
125,110,13,0.332
126,110,14,0.3273
127,110,16,0.3423
128,110,17,0.2929
129,110,19,0.3219
130,110,21,0.3088
131,110,23,0.3053
132,110,26,0.3048
133,110,28,0.3165
134,110,31,0.3019
135,110,35,0.3071
136,109.021,41,0.3194
137,102.5343,49,0.4143
138,92.3731,58,0.4415
139,77.7421,65,0.4794
