step,sheep,wolves,mean_theta
0,21.23,10,0.35
1,22.6641,8,0.295
2,24.2948,8,0.3187
3,26.0161,7,0.3312
4,27.9738,6,0.3214
5,30.1711,6,0.325
6,32.541,5,0.325
7,35.1687,5,0.35
8,38.0666,5,0.32
9,41.1824,5,0.33
10,44.2814,4,0.45
11,47.6379,4,0.55
12,51.144,4,0.6
13,55.0208,4,0.55
14,59.0703,4,0.6
15,63.5478,5,0.55
16,67.9803,5,0.55
17,72.7967,6,0.53
18,77.4338,7,0.55
19,81.7275,8,0.5786
20,85.4502,10,0.6188
21,88.1205,13,0.625
22,89.9534,15,0.5538
23,91.4287,18,0.5067
24,91.671,22,0.4917
25,89.9677,26,0.49
26,86.5049,30,0.4842
27,82.671,34,0.4373
28,78.375,38,0.4063
29,73.9574,40,0.3741
30,71.1433,41,0.3137
31,68.1624,42,0.3146
32,65.5688,42,0.2988
33,63.723,42,0.2774
34,62.0694,42,0.2726
35,60.1856,41,0.2821
36,58.7893,40,0.2732
37,57.4901,39,0.2775
38,56.5041,38,0.2731
39,55.5972,36,0.2776
40,55.1941,35,0.2708
41,54.794,34,0.2786
42,54.6378,33,0.275
43,54.5723,31,0.2788
44,54.987,30,0.271
45,55.4654,29,0.2767
46,56.0395,28,0.281
47,56.8044,27,0.2804
48,57.9547,26,0.2685
49,59.3195,25,0.2673
50,61.4669,24,0.232
51,63.7258,23,0.2396
52,65.7523,23,0.2696
53,67.6624,23,0.2804
54,69.814,22,0.2696
55,71.9573,22,0.2864
56,74.3247,22,0.2773
57,76.0342,22,0.3182
58,76.1102,24,0.4091
59,74.5119,26,0.4583
60,74.1356,28,0.3673
61,74.0467,29,0.3286
62,74.6501,29,0.2879
63,74.6427,30,0.3138
64,75.0458,30,0.2867
65,74.1302,31,0.34
66,73.9189,32,0.3016
67,73.5863,32,0.2969
68,73.3766,33,0.2922
69,73.2482,33,0.2803
70,73.12,33,0.2803
71,73.1931,33,0.2727
72,73.1455,33,0.2773
73,73.2187,33,0.2727
74,73.1711,33,0.2773
75,73.2442,33,0.2727
76,73.1966,33,0.2773
77,73.2698,33,0.2727
78,72.9804,33,0.2864
79,73.0534,33,0.2727
80,73.0059,33,0.2773
81,73.1592,33,0.2697
82,73.1117,33,0.2773
83,73.1848,33,0.2727
84,72.9762,34,0.2833
85,72.7682,34,0.275
86,72.4007,34,0.2809
87,72.274,34,0.2721
88,71.6706,34,0.2897
89,71.4663,34,0.275
90,71.184,34,0.2779
91,71.1377,34,0.2691
92,70.935,34,0.275
93,70.8889,34,0.2691
94,70.6089,34,0.2779
95,70.33,34,0.2779
96,69.9748,34,0.2809
97,69.8523,34,0.2721
98,69.5764,34,0.2779
99,69.4547,33,0.2721
100,69.4095,33,0.2773
101,69.1735,33,0.2848
102,69.1286,33,0.2773
103,69.1977,33,0.2727
104,69.1147,32,0.2788
105,69.3738,32,0.2734
106,69.4814,32,0.2797
107,69.8184,32,0.2703
108,69.9266,32,0.2797
109,70.2657,31,0.2703
110,70.6065,31,0.279
111,71.1431,31,0.271
112,71.4882,31,0.279
113,71.7169,31,0.2839
114,71.9859,31,0.2823
115,72.5329,31,0.271
116,72.8847,31,0.279
117,73.4387,31,0.271
118,73.7948,31,0.279
119,74.3557,31,0.271
120,74.6345,31,0.2823
121,75.2017,31,0.271
122,74.2429,32,0.3306
123,74.358,32,0.2797
124,74.4732,32,0.2797
125,74.9164,32,0.2672
126,75.0325,32,0.2797
127,73.4155,34,0.3453
128,72.1565,34,0.3132
129,72.0302,34,0.2721
130,71.4683,34,0.2882
131,71.4612,34,0.2676
132,70.9824,34,0.2853
133,71.0534,34,0.2647
134,70.5773,34,0.2853
135,70.6479,34,0.2647
136,70.1746,34,0.2853
137,70.2447,34,0.2647
138,69.8514,34,0.2824
139,69.9212,34,0.2647
140,69.4528,34,0.2853
141,69.5222,33,0.2647
142,69.2858,33,0.2848
143,69.0121,33,0.2864
144,68.7775,33,0.2848
145,69.0354,33,0.2652
146,68.7248,33,0.2879
147,68.8313,33,0.2712
148,68.5973,32,0.2848
149,69.0431,32,0.2656
150,69.0362,32,0.2844
151,69.485,32,0.2656
152,69.478,31,0.2844
153,70.1207,31,0.2661
154,70.3451,31,0.2839
155,70.9958,31,0.2661
156,71.223,31,0.2839
157,71.8818,31,0.2661
158,72.1118,31,0.2839
159,72.7788,30,0.2661
160,73.6922,30,0.265
161,74.617,30,0.265
162,75.061,30,0.285
163,73.9801,31,0.3467
164,73.8507,31,0.2984
165,74.5744,31,0.2645
166,74.772,32,0.2855
167,75.2169,32,0.2672
168,73.596,33,0.3453
169,72.6981,34,0.3091
170,72.251,34,0.2838
171,71.608,34,0.2912
172,71.4827,34,0.2721
173,71.0431,34,0.2838
174,71.075,34,0.2662
175,70.6379,34,0.2838
176,70.6697,34,0.2662
177,70.2351,34,0.2838
178,70.2667,34,0.2662
179,69.8346,34,0.2838
180,69.6355,34,0.275
181,69.0541,34,0.2897
182,69.0092,34,0.2691
183,68.5089,34,0.2868
184,68.5397,33,0.2662
185,68.3444,33,0.2833
186,68.4879,33,0.2697
187,68.2927,32,0.2833
188,68.7366,32,0.2656
189,68.7297,32,0.2844
190,69.1765,31,0.2656
191,69.5881,31,0.2758
192,70.27,31,0.2645
193,70.4562,31,0.2855
194,71.6117,30,0.2452
195,72.1166,30,0.2817
196,73.0217,30,0.265
197,73.8578,30,0.2683
198,74.7847,30,0.265
199,75.7232,30,0.265
200,74.6744,30,0.345
201,74.8723,31,0.295
202,74.8648,31,0.2935
203,75.1456,31,0.2823
204,74.0635,33,0.3355
205,73.2414,33,0.3061
206,73.0729,33,0.2818
207,72.9049,34,0.2818
208,72.3362,34,0.2882
209,72.0505,34,0.2779
210,71.7659,34,0.2779
211,71.4824,34,0.2779
212,71.3573,34,0.2721
213,71.1539,34,0.275
214,70.9512,34,0.275
215,70.7489,34,0.275
216,70.4695,34,0.2779
217,70.1911,34,0.2779
218,69.9911,34,0.275
219,70.1766,34,0.2603
220,69.9766,33,0.275
221,70.085,33,0.2712
222,70.078,33,0.2758
223,70.0325,33,0.2773
224,70.2566,33,0.2667
225,70.2882,32,0.2742
226,70.5131,32,0.275
227,70.6612,32,0.2781
228,71.1205,32,0.2656
229,71.3481,32,0.275
230,71.5764,32,0.275
231,71.8054,32,0.275
232,71.9562,31,0.2781
233,72.4239,31,0.2742
234,72.8549,31,0.2758
235,73.3284,31,0.2742
236,73.7647,31,0.2758
237,74.2442,31,0.2742
238,74.4409,31,0.2855
239,74.9248,31,0.2742
240,75.5354,31,0.2694
241,74.1154,32,0.3484
242,73.4557,33,0.3094
243,73.1252,33,0.2879
244,73.0777,33,0.2773
245,72.9096,34,0.2818
246,72.8221,34,0.2706
247,72.2541,34,0.2882
248,72.2469,34,0.2676
249,71.9217,34,0.2794
250,71.9937,34,0.2647
251,71.9073,34,0.2706
252,71.9001,34,0.2676
253,71.3393,34,0.2882
254,71.2537,34,0.2706
