step,sheep,wolves,mean_theta
0,5.3542,9,0.265
1,5.7248,8,0.3111
2,6.1367,7,0.3187
3,6.5984,6,0.3214
4,7.1204,5,0.3167
5,7.7032,4,0.33
6,8.3676,4,0.3125
7,9.0801,3,0.3375
8,9.8932,3,0.3167
9,10.7737,3,0.3333
10,11.7385,2,0.3167
11,12.8284,2,0.325
12,14.0195,2,0.325
13,15.3212,1,0.325
14,16.7775,1,0.45
15,18.3538,1,0.55
16,20.0983,1,0.45
17,21.9865,1,0.55
18,24.0763,1,0.45
19,26.3383,1,0.55
20,28.7838,1,0.65
21,31.4881,1,0.55
22,34.4291,1,0.6
23,37.6637,1,0.55
24,41.1815,1,0.6
25,45.0958,1,0.45
26,49.3325,1,0.55
27,53.9402,1,0.6
28,59.0375,1,0.5
29,64.5516,1,0.6
30,70.6872,1,0.45
31,77.3283,1,0.55
32,84.5082,1,0.65
33,92.3083,1,0.7
34,100.7776,1,0.75
35,109.9685,2,0.8
36,118.9695,3,0.825
37,128.0659,4,0.7133
38,137.0266,6,0.6825
39,145.077,9,0.625
40,150.5681,14,0.6278
41,150.0562,23,0.6714
42,143.0261,34,0.5804
43,129.6074,48,0.5182
44,111.9017,62,0.4481
45,92.3804,73,0.4024
46,73.5718,81,0.3781
47,60.5187,83,0.3114
48,50.0278,83,0.2994
49,42.291,79,0.2789
50,36.5648,74,0.2709
51,31.9759,69,0.277
52,28.7543,63,0.2645
53,27.1541,56,0.2246
54,25.4787,51,0.2625
55,24.271,46,0.2627
56,23.4944,41,0.2609
57,23.2723,37,0.2427
58,23.27,33,0.2459
59,23.4085,29,0.2591
60,23.9211,26,0.2448
61,24.695,23,0.2365
62,25.7248,21,0.2304
63,26.9814,19,0.2214
64,28.3291,17,0.2395
65,29.9467,15,0.2294
66,31.8379,14,0.2233
67,33.8309,12,0.2429
68,36.1534,11,0.2375
69,38.5956,10,0.2682
70,41.2451,10,0.285
71,44.0766,9,0.285
72,47.1025,9,0.3167
73,50.2583,8,0.3333
74,53.8744,8,0.3187
75,57.5729,8,0.3563
76,61.7153,8,0.3187
77,66.0878,8,0.3312
78,70.0795,8,0.45
79,73.6956,9,0.55
80,76.7282,10,0.5944
81,80.1388,12,0.505
82,82.9957,13,0.4875
83,85.5893,15,0.4808
84,87.9345,17,0.44
85,89.425,20,0.4441
86,89.3668,23,0.4575
87,88.08,26,0.4522
88,86.1334,30,0.4269
89,84.1588,33,0.3725
90,82.4609,35,0.3311
91,78.2348,38,0.3929
92,74.3715,40,0.3574
93,71.0099,41,0.33
94,69.1672,41,0.2793
95,66.6495,42,0.3024
96,64.9566,42,0.2714
97,62.5565,42,0.2964
98,61.3116,41,0.2595
99,59.3496,40,0.2927
100,58.5603,39,0.2575
101,57.0729,38,0.2923
102,56.6277,36,0.2579
103,55.75,35,0.2917
104,55.7751,34,0.2586
105,55.2787,33,0.2912
106,55.6076,32,0.2591
107,55.5408,31,0.2875
108,56.1768,29,0.2597
109,56.6037,28,0.2897
110,57.6566,27,0.2643
111,58.4436,27,0.2907
112,59.7878,26,0.2593
113,60.8669,25,0.2865
114,62.6686,24,0.256
115,64.4891,24,0.2687
116,66.5044,23,0.2604
117,69.2411,22,0.2326
118,71.4429,22,0.2818
119,73.3219,22,0.3045
120,75.5729,22,0.2864
121,76.0225,23,0.3886
122,75.555,25,0.4196
123,74.1761,28,0.43
124,72.8224,30,0.3839
125,72.0942,30,0.3333
126,72.5628,31,0.2833
127,72.8748,31,0.2806
128,73.2282,31,0.279
129,73.5431,31,0.2806
130,74.1425,31,0.2694
131,74.4613,31,0.2806
132,75.0682,31,0.2694
133,73.5743,33,0.3516
134,72.7172,33,0.3076
135,73.1498,33,0.2591
136,72.539,33,0.2985
137,73.0105,33,0.2576
138,72.4812,33,0.2955
139,73.0321,33,0.2545
140,72.5026,33,0.2955
141,73.0536,33,0.2545
142,72.524,33,0.2955
143,72.8358,33,0.2636
144,72.2276,34,0.2985
145,72.5779,34,0.2544
146,71.7324,34,0.2985
147,71.6858,34,0.2691
148,70.8506,34,0.2985
149,71.1943,34,0.2544
150,70.4432,34,0.2956
151,70.7848,34,0.2544
152,70.038,34,0.2956
153,70.3777,34,0.2544
154,69.6352,34,0.2956
155,69.973,33,0.2544
156,69.4657,33,0.2955
157,69.9936,33,0.2545
158,69.4862,33,0.2955
159,70.0142,33,0.2545
160,69.7377,33,0.2864
161,70.191,32,0.2576
162,69.9137,32,0.2953
163,70.6373,32,0.2547
164,70.3583,32,0.2953
165,70.9317,32,0.2609
166,70.6516,32,0.2953
167,71.3828,31,0.2547
168,71.3364,31,0.2952
169,72.3494,31,0.2516
170,72.3819,31,0.2919
171,73.3301,31,0.2548
172,73.2825,31,0.2952
173,74.2425,31,0.2548
174,74.1942,31,0.2952
175,74.7581,31,0.271
176,74.7095,31,0.2952
177,75.6882,31,0.2548
178,74.8481,32,0.3258
179,75.0876,32,0.275
180,73.3868,33,0.3484
181,72.7337,34,0.3
182,72.0864,34,0.2912
183,71.6827,34,0.2824
184,71.2024,34,0.2853
185,70.9995,34,0.275
186,70.719,34,0.2779
187,70.5953,34,0.2721
188,70.3941,34,0.275
189,70.2709,34,0.2721
190,70.6117,34,0.2544
191,70.4881,34,0.2721
192,70.2097,34,0.2779
193,70.0868,34,0.2721
194,70.1184,33,0.2662
195,70.2271,33,0.2712
196,70.4518,33,0.2667
197,70.561,32,0.2712
198,70.7868,32,0.275
199,71.0912,32,0.2719
200,71.2405,32,0.2781
201,71.5468,32,0.2719
202,71.9331,32,0.2687
203,72.3216,32,0.2687
204,72.4735,32,0.2781
205,72.7851,32,0.2719
206,72.9379,32,0.2781
207,73.2516,32,0.2719
208,73.4054,32,0.2781
209,73.721,32,0.2719
210,73.8759,32,0.2781
211,74.2748,32,0.2687
212,74.4308,32,0.2781
213,74.6689,32,0.275
214,74.8258,32,0.2781
215,75.1475,32,0.2719
216,73.7761,33,0.3359
217,73.4441,33,0.2879
218,73.3963,33,0.2773
219,73.3083,33,0.2788
220,73.4219,33,0.2712
221,73.3338,33,0.2788
222,73.3668,33,0.2742
223,73.2787,33,0.2788
224,73.3923,33,0.2712
225,73.2235,33,0.2818
226,73.337,33,0.2712
227,73.249,34,0.2788
228,72.9194,34,0.2794
229,72.4709,34,0.2838
230,72.3043,34,0.2735
231,72.0584,34,0.2765
232,71.9323,34,0.2721
233,71.6482,34,0.2779
234,71.5228,34,0.2721
235,71.2403,34,0.2779
236,71.3507,34,0.2632
237,71.1474,34,0.275
238,71.3359,34,0.2603
239,71.0541,34,0.2779
240,70.8516,34,0.275
241,70.5718,33,0.2779
242,70.6811,33,0.2712
243,70.5963,33,0.2788
244,70.7057,33,0.2712
245,70.6209,33,0.2788
246,70.7304,33,0.2712
247,70.6455,33,0.2788
248,70.755,32,0.2712
249,70.9814,32,0.275
250,71.4428,32,0.2656
251,72.0643,32,0.2594
252,72.3742,32,0.2719
253,72.5262,32,0.2781
254,72.9178,31,0.2687
255,73.3116,31,0.2774
256,73.8284,31,0.2726
257,74.2271,31,0.2774
258,74.6688,31,0.2758
259,75.072,31,0.2774
260,73.8671,32,0.3403
261,73.7378,33,0.2891
262,73.9332,33,0.2682
263,73.6818,33,0.2848
264,73.796,33,0.2712
265,73.6263,33,0.2818
266,73.8214,33,0.2682
267,73.6516,33,0.2818
268,73.8468,33,0.2682
269,73.677,33,0.2818
270,73.8722,33,0.2682
271,73.7023,33,0.2818
272,73.8976,33,0.2682
273,73.7276,33,0.2818
274,73.923,33,0.2682
275,73.753,34,0.2818
276,73.7456,34,0.2676
277,73.3326,34,0.2824
278,73.3253,34,0.2676
279,72.9147,34,0.2824
280,72.9074,34,0.2676
281,72.4991,34,0.2824
282,72.4121,34,0.2706
283,72.0066,34,0.2824
284,71.9994,34,0.2676
285,71.5962,34,0.2824
286,71.5891,34,0.2676
287,72.2906,34,0.2412
288,72.2834,34,0.2676
289,71.7196,34,0.2882
290,72.1069,33,0.2529
291,71.9014,33,0.2833
292,72.0524,33,0.2697
293,71.847,33,0.2833
294,71.9189,33,0.2727
295,71.8721,33,0.2773
296,71.944,33,0.2727
297,71.7389,33,0.2833
298,71.9685,33,0.2667
299,71.7634,33,0.2833
300,72.072,33,0.2636
301,71.8666,33,0.2833
302,71.8594,33,0.2758
303,71.6546,33,0.2833
304,71.9627,33,0.2636
305,71.6785,33,0.2864
306,71.9078,33,0.2667
307,71.7029,33,0.2833
308,71.6957,33,0.2758
309,71.4125,33,0.2864
310,71.641,33,0.2667
311,71.4369,33,0.2833
312,71.6655,33,0.2667
313,71.4612,33,0.2833
314,71.6899,32,0.2667
315,71.6039,32,0.2875
316,72.0693,32,0.2656
317,72.0621,32,0.2844
318,72.5305,32,0.2656
319,72.5232,32,0.2844
320,73.1542,32,0.2594
321,73.4687,32,0.2719
322,73.9463,32,0.2656
323,73.9389,32,0.2844
324,74.4195,32,0.2656
325,74.4121,32,0.2844
326,74.8957,32,0.2656
327,75.053,32,0.2781
328,73.642,33,0.3375
329,73.3511,33,0.2864
330,73.5052,33,0.2697
331,73.3765,33,0.2803
332,73.5306,33,0.2697
333,73.402,33,0.2803
334,73.5561,33,0.2697
335,73.4274,33,0.2803
336,73.5816,33,0.2697
337,73.4528,34,0.2803
338,73.4051,34,0.2691
339,72.9536,34,0.2838
340,72.8259,34,0.2721
341,72.4582,34,0.2809
342,72.4111,34,0.2691
343,72.0454,34,0.2809
344,71.8401,34,0.275
345,71.4773,34,0.2809
346,71.5094,34,0.2662
347,71.1483,34,0.2809
348,71.1021,34,0.2691
349,70.743,34,0.2809
350,70.697,34,0.2691
351,70.34,34,0.2809
352,70.2943,34,0.2691
353,70.0166,34,0.2779
354,69.9711,33,0.2691
355,69.8487,33,0.2803
356,69.9953,33,0.2697
357,69.9498,33,0.2773
358,70.0967,32,0.2697
359,70.2054,32,0.2797
360,70.4687,32,0.2734
361,70.5779,32,0.2797
362,70.9202,32,0.2703
363,71.0301,32,0.2797
364,71.3746,32,0.2703
365,71.4067,32,0.2828
366,71.7531,32,0.2703
367,71.8643,32,0.2797
368,72.2128,31,0.2703
369,72.563,31,0.279
370,73.1145,31,0.271
371,73.4691,31,0.279
372,74.0275,31,0.271
373,74.3865,31,0.279
374,74.9519,31,0.271
375,75.3154,31,0.279
376,74.3137,32,0.3323
377,74.0202,32,0.2953
378,74.0535,33,0.2828
379,73.9483,33,0.2794
380,73.8596,33,0.2788
381,73.974,33,0.2712
382,73.8853,33,0.2788
383,73.9998,33,0.2712
384,73.911,33,0.2788
385,73.7817,34,0.2803
386,73.4496,34,0.2794
387,73.3615,34,0.2706
388,73.0314,34,0.2794
389,72.9437,34,0.2706
390,72.6155,34,0.2794
391,72.5284,34,0.2706
392,71.9626,34,0.2882
393,71.8763,34,0.2706
394,71.5528,34,0.2794
395,71.467,34,0.2706
396,71.1454,34,0.2794
397,71.06,34,0.2706
398,70.7402,34,0.2794
399,70.6553,34,0.2706
400,70.3374,34,0.2794
401,70.253,34,0.2706
402,69.9368,34,0.2794
403,69.8529,34,0.2706
404,69.5386,33,0.2794
405,69.6846,33,0.2697
406,69.5627,33,0.2803
407,69.7087,33,0.2697
408,69.5868,33,0.2803
409,69.7329,32,0.2697
410,69.841,32,0.2797
411,70.1797,32,0.2703
412,70.2885,32,0.2797
413,70.6294,32,0.2703
414,70.7389,31,0.2797
415,71.2765,31,0.271
416,71.5438,31,0.2823
417,72.0875,31,0.271
418,72.3578,31,0.2823
419,72.9077,31,0.271
420,73.2613,31,0.279
421,73.8181,31,0.271
422,74.2573,31,0.2758
423,74.8217,31,0.271
424,75.1023,31,0.2823
425,74.0621,32,0.3339
426,74.014,32,0.2859
427,74.4544,32,0.2672
428,74.4879,32,0.2828
429,74.9311,32,0.2672
430,74.9648,33,0.2828
431,75.1634,33,0.2682
432,73.5437,34,0.3348
433,72.9296,34,0.2897
434,72.6816,34,0.2765
435,72.4345,34,0.2765
436,72.2679,34,0.2735
437,72.0222,34,0.2765
438,71.8565,34,0.2735
439,71.6122,34,0.2765
440,71.4475,34,0.2735
441,71.2046,34,0.2765
442,71.0408,34,0.2735
443,70.9556,34,0.2706
444,70.7924,34,0.2735
445,70.5517,34,0.2765
446,70.3894,34,0.2735
447,70.1501,34,0.2765
448,69.5258,34,0.2912
449,69.2894,34,0.2765
450,69.13,34,0.2735
451,68.895,33,0.2765
452,69.0017,33,0.2712
453,68.9948,33,0.2758
454,69.4813,32,0.2561
455,69.6654,32,0.2766
456,69.9266,32,0.2734
457,70.1119,32,0.2766
458,70.3749,31,0.2734
459,70.7162,31,0.279
460,71.0203,31,0.2806
461,71.4428,31,0.2758
462,71.9072,31,0.2742
463,72.256,31,0.279
464,72.7256,31,0.2742
465,73.1583,31,0.2758
466,73.6339,31,0.2742
467,74.072,31,0.2758
468,74.1461,31,0.2903
469,74.5872,31,0.2758
470,75.072,31,0.2742
471,74.1975,32,0.3274
472,74.3941,32,0.2766
473,74.5912,32,0.2766
474,74.7068,32,0.2797
475,74.9048,32,0.2766
476,75.1857,33,0.2734
477,73.4,34,0.3409
478,72.9083,34,0.2853
479,72.7406,34,0.2735
480,72.1732,34,0.2882
481,71.9278,34,0.2765
482,71.6041,34,0.2794
483,71.2032,35,0.2824
484,70.5303,35,0.2843
485,70.1741,35,0.2729
486,69.6267,35,0.28
487,69.1985,35,0.2757
488,68.6588,35,0.28
489,68.3121,35,0.2729
490,67.7792,34,0.28
491,67.6979,34,0.2706
492,67.3933,34,0.2794
493,67.3124,33,0.2706
494,67.7499,33,0.2576
495,67.8549,32,0.2712
496,68.4079,32,0.2609
497,68.6645,31,0.2734
498,68.9975,31,0.279
499,69.5219,31,0.271
