step,sheep,wolves,mean_theta
0,18,10,0.5
1,19.008,8,0.4
2,20.2502,8,0.315
3,21.6849,7,0.3312
4,23.2332,6,0.325
5,24.9815,6,0.3214
6,26.9575,5,0.3167
7,29.075,5,0.325
8,31.4548,4,0.33
9,34.0813,4,0.3
10,36.8334,4,0.4375
11,39.6659,4,0.525
12,42.8034,4,0.475
13,46.0244,4,0.5625
14,49.5131,4,0.55
15,53.2389,4,0.5625
16,57.2451,4,0.5625
17,61.6788,5,0.5125
18,66.2862,5,0.575
19,70.9826,6,0.53
20,75.9726,7,0.54
21,80.8957,8,0.5333
22,85.2923,10,0.5929
23,89.5996,12,0.5625
24,93.5428,14,0.509
25,97.0935,16,0.47
26,100.4053,19,0.4279
27,103.4937,21,0.3934
28,106.0412,24,0.3607
29,108.3034,28,0.3405
30,108.3689,32,0.3765
31,106.6343,37,0.3766
32,102.7503,44,0.3876
33,95.3293,51,0.4232
34,84.9052,57,0.4325
35,72.4029,63,0.4407
36,59.2441,66,0.4494
37,46.7435,66,0.4488
38,36.3509,65,0.444
39,28.5051,61,0.435
40,22.6036,56,0.4294
41,18.4072,51,0.4257
42,15.4197,46,0.4258
43,13.237,41,0.4306
44,11.66,37,0.4331
45,10.6242,32,0.4187
46,9.8423,29,0.4265
47,9.4326,25,0.4024
48,9.2404,22,0.3773
49,9.2364,19,0.3652
50,9.4196,17,0.3313
51,9.7344,14,0.3186
52,10.1296,13,0.3176
53,10.6523,11,0.3143
54,11.3132,10,0.2654
55,12.0837,8,0.2636
56,12.9664,7,0.245
57,13.9421,7,0.2812
58,15.0066,6,0.3071
59,16.1606,5,0.3
60,17.4122,5,0.3417
61,18.8566,4,0.31
62,20.3896,4,0.34
63,22.1482,3,0.3125
64,24.0341,3,0.3375
65,26.0806,3,0.45
66,28.2153,3,0.55
67,30.5713,3,0.5
68,33.0904,3,0.5333
69,35.817,3,0.5333
70,38.8077,3,0.5
71,41.9628,3,0.5667
72,45.5129,3,0.4667
73,49.2381,3,0.55
74,53.4307,3,0.45
75,57.804,3,0.55
76,62.726,3,0.45
77,67.8601,3,0.55
78,73.3025,3,0.6
79,79.383,4,0.5167
80,85.8368,5,0.5667
81,92.296,6,0.5625
82,98.9875,7,0.5
83,105.293,9,0.55
84,111.7685,11,0.5
85,117.475,14,0.4944
86,122.5538,18,0.4692
87,126.6198,22,0.4339
88,129.3664,27,0.3955
89,129.7083,34,0.4023
90,126.7929,43,0.4124
91,119.1552,53,0.4284
92,106.5094,63,0.4358
93,90.3006,72,0.4326
94,72.4218,78,0.43
95,55.7847,79,0.4163
96,41.638,79,0.4121
97,31.0483,74,0.4077
98,23.1426,68,0.4081
99,17.7759,62,0.4077
100,14.1362,55,0.4074
101,11.5913,49,0.4106
102,10.06,43,0.3837
103,8.9163,38,0.3965
104,8.2818,33,0.3619
105,7.9289,28,0.3412
106,7.7574,25,0.3351
107,7.701,21,0.3483
108,7.8346,19,0.3006
109,8.0844,16,0.2948
110,8.3956,14,0.2943
111,8.8288,12,0.275
112,9.3718,11,0.25
113,10.0048,9,0.2458
114,10.7137,8,0.2409
115,11.5022,7,0.2667
116,12.3551,6,0.2938
117,13.2984,5,0.3071
118,14.3284,5,0.3417
119,15.5169,4,0.31
120,16.7784,4,0.34
121,18.2256,3,0.3125
122,19.7775,3,0.3375
123,21.5485,3,0.3167
124,23.4664,3,0.3333
125,25.5678,2,0.3167
126,27.7449,2,0.45
127,30.1836,2,0.55
128,32.8534,2,0.525
129,35.7593,2,0.525
130,38.9812,2,0.45
131,42.4076,2,0.55
132,46.2286,2,0.45
133,50.292,2,0.55
134,54.7404,2,0.525
135,59.6123,2,0.5
136,64.8194,2,0.575
137,70.5883,2,0.5
138,76.8707,2,0.5
139,83.7122,3,0.5
140,91.0244,4,0.575
141,98.2245,5,0.6333
142,105.5618,6,0.575
143,112.8087,8,0.57
144,119.6223,11,0.6
145,125.6632,15,0.5625
146,130.7138,18,0.4943
147,134.9971,22,0.4075
148,139.0355,27,0.354
149,140.2822,36,0.3762
150,135.831,46,0.4435
151,126.162,59,0.4323
152,109.809,73,0.4538
153,87.2801,84,0.4702
154,63.5535,90,0.4631
155,43.2569,90,0.4539
156,28.1368,86,0.4541
157,18.5164,78,0.4464
158,12.6215,70,0.4422
159,9.1114,61,0.4407
160,6.8768,54,0.4484
161,5.5665,46,0.433
162,4.7335,40,0.4203
163,4.2012,35,0.4199
164,3.945,30,0.3659
165,3.8165,26,0.3443
166,3.7874,22,0.3262
167,3.8391,19,0.3018
168,3.9673,16,0.2752
169,4.1414,14,0.2686
170,4.3742,12,0.2487
171,4.6443,10,0.2485
172,4.9682,9,0.2292
173,5.3475,7,0.215
174,5.7529,6,0.2444
175,6.1953,6,0.3
176,6.6955,5,0.2917
177,7.2178,4,0.3333
178,7.8165,4,0.31
179,8.4821,3,0.3375
180,9.2136,3,0.3125
181,10.0336,2,0.3333
182,10.9322,2,0.3167
183,11.9412,2,0.35
184,13.0565,2,0.3
185,14.2616,1,0.35
186,15.5937,1,0.3
187,17.0758,1,0.45
188,18.6801,1,0.55
189,20.4248,1,0.6
190,22.3662,1,0.45
191,24.4675,1,0.55
192,26.7932,1,0.45
193,29.3104,1,0.55
194,32.0963,1,0.45
195,35.1118,1,0.55
196,38.3912,1,0.6
197,42.0403,1,0.45
198,45.99,1,0.55
199,50.3613,1,0.45
200,55.0928,1,0.55
201,60.2384,1,0.6
202,65.9641,1,0.45
203,72.1614,1,0.55
204,79.0204,1,0.45
205,86.4443,1,0.55
206,94.6609,1,0.45
207,103.5543,1,0.55
208,113.3971,1,0.45
209,124.0507,2,0.55
210,135.6371,3,0.6
211,147.485,4,0.575
212,159.8811,6,0.4833
213,171.7363,10,0.5875
214,182.1092,16,0.6
215,188.4869,26,0.5907
216,189.4652,41,0.5387
217,181.4545,60,0.4975
218,162.5742,84,0.4524
219,130.4457,109,0.4509
220,88.5618,126,0.4557
221,48.1724,128,0.4638
222,21.7306,120,0.4682
223,9.8044,106,0.4608
224,4.9774,91,0.4487
225,2.9064,79,0.4426
226,1.9003,67,0.4457
227,1.3428,58,0.4526
228,1.0499,49,0.4316
229,0.8555,42,0.447
230,0.7454,36,0.4244
231,0.6749,30,0.4211
232,0.6299,26,0.4206
233,0.6124,22,0.3873
234,0.6084,19,0.3726
235,0.6163,16,0.3593
236,0.636,14,0.3258
237,0.6702,11,0.2625
238,0.7118,10,0.2464
239,0.7615,8,0.25
240,0.8179,7,0.235
241,0.8813,6,0.2562
242,0.95,5,0.2857
243,1.0267,4,0.2917
244,1.1124,4,0.3
245,1.2096,3,0.2875
246,1.3133,3,0.325
247,1.433,2,0.2667
248,1.5614,2,0.3167
249,1.7055,2,0.35
250,1.8648,2,0.3
251,2.0369,1,0.35
252,2.2272,1,0.3
253,2.4413,1,0.35
254,2.6774,1,0.3
255,2.9348,1,0.35
256,3.2186,1,0.3
257,3.5281,0,0.35
258,3.8692,0,0.3
259,4.2561,0,0.0
260,4.6818,0,0.0
261,5.1499,0,0.0
262,5.6649,0,0.0
263,6.2314,0,0.0
264,6.8546,0,0.0
265,7.54,0,0.0
266,8.294,0,0.0
267,9.1234,0,0.0
268,10.0358,0,0.0
269,11.0393,0,0.0
270,12.1433,0,0.0
271,13.3576,0,0.0
272,14.6933,0,0.0
273,16.1627,0,0.0
274,17.7789,0,0.0
275,19.5568,0,0.0
276,21.5125,0,0.0
277,23.6638,0,0.0
278,26.0302,0,0.0
279,28.6332,0,0.0
280,31.4965,0,0.0
281,34.6461,0,0.0
282,38.1108,0,0.0
283,41.9218,0,0.0
284,46.114,0,0.0
285,50.7254,0,0.0
286,55.798,0,0.0
287,61.3777,0,0.0
288,67.5155,0,0.0
289,74.2671,0,0.0
290,81.6938,0,0.0
291,89.8632,0,0.0
292,98.8495,0,0.0
293,108.7344,0,0.0
294,119.6079,0,0.0
295,131.5687,0,0.0
296,144.7255,0,0.0
297,159.1981,0,0.0
298,175.1179,0,0.0
299,192.6297,0,0.0
300,211.8926,0,0.0
301,233.0819,0,0.0
302,256.3901,0,0.0
303,282.0291,0,0.0
304,310.232,0,0.0
305,341.2552,0,0.0
306,375.3807,0,0.0
307,412.9188,0,0.0
308,454.2107,0,0.0
309,499.6317,0,0.0
310,549.5949,0,0.0
311,604.5544,0,0.0
312,665.0098,0,0.0
313,731.5108,0,0.0
314,804.6619,0,0.0
315,885.1281,0,0.0
316,973.6409,0,0.0
317,1000,0,0.0
318,1000,0,0.0
319,1000,0,0.0
320,1000,0,0.0
321,1000,0,0.0
322,1000,0,0.0
323,1000,0,0.0
324,1000,0,0.0
325,1000,0,0.0
326,1000,0,0.0
327,1000,0,0.0
328,1000,0,0.0
329,1000,0,0.0
330,1000,0,0.0
331,1000,0,0.0
332,1000,0,0.0
333,1000,0,0.0
334,1000,0,0.0
335,1000,0,0.0
336,1000,0,0.0
337,1000,0,0.0
338,1000,0,0.0
339,1000,0,0.0
340,1000,0,0.0
341,1000,0,0.0
342,1000,0,0.0
343,1000,0,0.0
344,1000,0,0.0
345,1000,0,0.0
346,1000,0,0.0
347,1000,0,0.0
348,1000,0,0.0
349,1000,0,0.0
350,1000,0,0.0
351,1000,0,0.0
352,1000,0,0.0
353,1000,0,0.0
354,1000,0,0.0
355,1000,0,0.0
356,1000,0,0.0
357,1000,0,0.0
358,1000,0,0.0
359,1000,0,0.0
360,1000,0,0.0
361,1000,0,0.0
362,1000,0,0.0
363,1000,0,0.0
364,1000,0,0.0
365,1000,0,0.0
366,1000,0,0.0
367,1000,0,0.0
368,1000,0,0.0
369,1000,0,0.0
370,1000,0,0.0
371,1000,0,0.0
372,1000,0,0.0
373,1000,0,0.0
374,1000,0,0.0
375,1000,0,0.0
376,1000,0,0.0
377,1000,0,0.0
378,1000,0,0.0
379,1000,0,0.0
380,1000,0,0.0
381,1000,0,0.0
382,1000,0,0.0
383,1000,0,0.0
384,1000,0,0.0
385,1000,0,0.0
386,1000,0,0.0
387,1000,0,0.0
388,1000,0,0.0
389,1000,0,0.0
390,1000,0,0.0
391,1000,0,0.0
392,1000,0,0.0
393,1000,0,0.0
394,1000,0,0.0
395,1000,0,0.0
396,1000,0,0.0
397,1000,0,0.0
398,1000,0,0.0
399,1000,0,0.0
400,1000,0,0.0
401,1000,0,0.0
402,1000,0,0.0
403,1000,0,0.0
404,1000,0,0.0
405,1000,0,0.0
406,1000,0,0.0
407,1000,0,0.0
408,1000,0,0.0
409,1000,0,0.0
410,1000,0,0.0
411,1000,0,0.0
412,1000,0,0.0
413,1000,0,0.0
414,1000,0,0.0
415,1000,0,0.0
416,1000,0,0.0
417,1000,0,0.0
418,1000,0,0.0
419,1000,0,0.0
420,1000,0,0.0
421,1000,0,0.0
422,1000,0,0.0
423,1000,0,0.0
424,1000,0,0.0
425,1000,0,0.0
426,1000,0,0.0
427,1000,0,0.0
428,1000,0,0.0
429,1000,0,0.0
430,1000,0,0.0
431,1000,0,0.0
432,1000,0,0.0
433,1000,0,0.0
434,1000,0,0.0
435,1000,0,0.0
436,1000,0,0.0
437,1000,0,0.0
438,1000,0,0.0
439,1000,0,0.0
440,1000,0,0.0
441,1000,0,0.0
442,1000,0,0.0
443,1000,0,0.0
444,1000,0,0.0
445,1000,0,0.0
446,1000,0,0.0
447,1000,0,0.0
448,1000,0,0.0
449,1000,0,0.0
450,1000,0,0.0
451,1000,0,0.0
452,1000,0,0.0
453,1000,0,0.0
454,1000,0,0.0
455,1000,0,0.0
456,1000,0,0.0
457,1000,0,0.0
458,1000,0,0.0
459,1000,0,0.0
460,1000,0,0.0
461,1000,0,0.0
462,1000,0,0.0
463,1000,0,0.0
464,1000,0,0.0
465,1000,0,0.0
466,1000,0,0.0
467,1000,0,0.0
468,1000,0,0.0
469,1000,0,0.0
470,1000,0,0.0
471,1000,0,0.0
472,1000,0,0.0
473,1000,0,0.0
474,1000,0,0.0
475,1000,0,0.0
476,1000,0,0.0
477,1000,0,0.0
478,1000,0,0.0
479,1000,0,0.0
480,1000,0,0.0
481,1000,0,0.0
482,1000,0,0.0
483,1000,0,0.0
484,1000,0,0.0
485,1000,0,0.0
486,1000,0,0.0
487,1000,0,0.0
488,1000,0,0.0
489,1000,0,0.0
490,1000,0,0.0
491,1000,0,0.0
492,1000,0,0.0
493,1000,0,0.0
494,1000,0,0.0
495,1000,0,0.0
496,1000,0,0.0
497,1000,0,0.0
498,1000,0,0.0
499,1000,0,0.0
500,1000,0,0.0
