step,sheep,wolves,mean_theta
0,17,8,0.5
1,19.4367,6,0.2361
2,22.3495,5,0.2611
3,25.8895,4,0.2889
4,30.0731,4,0.3201
5,35.0672,3,0.3535
6,40.7699,3,0.3893
7,47.6742,3,0.4257
8,55.6153,3,0.4643
9,64.725,3,0.5028
10,75.1506,4,0.5406
11,87.0565,6,0.5774
12,99.3461,10,0.6128
13,110,18,0.6437
14,110,33,0.6667
15,100.32,55,0.6667
16,69.0656,70,0.6459
17,32.1275,63,0.5567
18,18.6505,48,0.3687
19,15.2396,36,0.2532
20,14.4784,27,0.217
21,14.7673,20,0.2084
22,15.6953,15,0.2117
23,17.1617,12,0.222
24,19.1248,9,0.2378
25,21.5286,7,0.258
26,24.5262,6,0.2813
27,28.1607,5,0.3084
28,32.4196,4,0.3386
29,37.4608,4,0.3709
30,43.4959,4,0.4052
31,50.3511,4,0.4416
32,58.1112,4,0.4779
33,66.8673,5,0.5138
34,76.7186,6,0.5487
35,86.7002,9,0.5824
36,96.4013,15,0.6119
37,102.4232,25,0.6367
38,98.9178,42,0.6506
39,80.5587,59,0.6427
40,48.4137,62,0.5943
41,26.0026,52,0.4682
42,18.7826,40,0.321
43,16.5719,30,0.2546
44,16.2026,23,0.2315
45,16.7885,17,0.2276
46,17.9789,13,0.2339
47,19.7676,11,0.2464
48,22.0905,8,0.2644
49,24.8375,7,0.2866
50,28.3214,6,0.3111
51,32.3684,5,0.3399
52,37.1152,5,0.3705
53,42.7437,5,0.4029
54,49.0494,5,0.4373
55,56.0846,5,0.4714
56,63.9036,6,0.5049
57,72.563,7,0.5374
58,81.1318,10,0.5688
59,89.2348,16,0.596
60,93.832,25,0.6187
61,89.8821,39,0.6305
62,74.4018,52,0.6204
63,49.2414,54,0.575
64,30.0604,48,0.4724
65,22.3046,38,0.3534
66,19.3518,29,0.2885
67,18.6286,23,0.2603
68,19.0739,18,0.253
69,20.1776,14,0.2575
70,21.8735,11,0.2684
71,24.157,9,0.2845
72,27.0421,7,0.3052
73,30.5252,6,0.3296
74,34.7999,6,0.3569
75,39.8179,5,0.3875
76,45.3737,5,0.4199
77,51.9871,5,0.452
78,59.3531,6,0.4859
79,67.527,7,0.519
80,75.6733,10,0.5511
81,83.4458,14,0.5791
82,88.064,21,0.6027
83,87.4628,32,0.6156
84,77.8924,44,0.6139
85,58.4077,51,0.5861
86,38.3233,49,0.515
87,26.7252,40,0.4107
88,21.7926,32,0.327
89,20.2141,25,0.2838
90,20.0846,20,0.2688
91,20.878,15,0.2675
92,22.2962,12,0.2752
93,24.4401,10,0.2885
94,27.1626,8,0.3077
95,30.44,7,0.3306
96,34.4458,7,0.3563
97,39.1064,6,0.3851
98,44.1975,6,0.4156
99,50.2013,6,0.4456
100,56.792,6,0.4772
101,63.9958,8,0.508
102,71.8389,10,0.5378
103,78.3946,14,0.5664
104,83.0163,20,0.5877
105,82.8417,29,0.6015
106,75.5122,40,0.601
107,60.2063,46,0.5786
108,42.0425,46,0.5226
109,30.3423,40,0.4332
110,24.501,32,0.3555
111,22.1524,26,0.3082
112,21.698,20,0.2871
113,22.2072,16,0.2829
114,23.5826,13,0.2876
115,25.5815,11,0.3001
116,28.164,9,0.3175
117,31.2788,8,0.3387
118,35.0852,7,0.3625
119,39.4787,7,0.3895
120,44.603,7,0.4179
121,50.168,7,0.4478
122,56.1811,7,0.477
123,62.648,9,0.5053
124,69.5731,11,0.5325
125,75.0948,15,0.5585
126,78.6701,21,0.5772
127,77.736,29,0.5885
128,70.3383,37,0.5856
129,56.9327,42,0.5612
130,42.6046,42,0.5086
131,32.3798,38,0.4365
132,26.7609,31,0.3706
133,24.1249,25,0.3273
134,23.4773,20,0.3049
135,23.9586,17,0.2992
136,25.2608,13,0.3034
137,27.0692,11,0.3147
138,29.6974,10,0.3298
139,32.8879,9,0.3506
140,36.5118,8,0.3742
141,40.6676,8,0.399
142,45.4819,8,0.4251
143,50.6256,8,0.4526
144,56.0919,8,0.4793
145,61.8726,10,0.5049
146,67.958,12,0.5294
147,72.5352,16,0.5527
148,75.1611,22,0.5687
149,73.5271,29,0.5774
150,66.0233,36,0.5721
151,54.159,40,0.5455
152,41.7744,39,0.4961
153,32.8179,35,0.4317
154,27.9022,29,0.3737
155,25.5942,24,0.3366
156,25.056,20,0.3176
157,25.5501,16,0.313
158,26.7701,14,0.3172
159,28.7587,11,0.3274
160,31.1926,10,0.3434
161,34.451,9,0.3619
162,38.1568,8,0.3851
163,42.4123,8,0.4096
164,47.3493,8,0.4354
165,52.6134,8,0.4626
166,58.1972,9,0.4889
167,64.0919,11,0.5141
168,69.4599,14,0.5382
169,73.1179,19,0.5581
170,73.7206,25,0.5707
171,69.2119,32,0.5727
172,59.915,38,0.5572
173,47.9066,39,0.5214
174,37.1483,37,0.4655
175,30.5606,32,0.4031
176,26.9796,27,0.3572
177,25.5564,22,0.3291
178,25.4138,18,0.3172
179,26.2558,15,0.316
180,27.8419,12,0.3231
181,30.0417,11,0.3361
182,32.9936,9,0.3533
183,36.3264,9,0.375
184,40.4706,8,0.3978
185,44.8591,8,0.4239
186,49.9617,8,0.4492
187,55.388,9,0.476
188,61.1297,10,0.5018
189,66.4051,13,0.5264
190,70.9689,17,0.547
191,72.6881,22,0.5634
192,70.3432,29,0.5693
193,63.568,35,0.5612
194,52.5614,38,0.5361
195,41.4983,37,0.4887
196,33.5224,33,0.43
197,28.9541,28,0.3787
198,26.8362,24,0.3449
199,26.2897,20,0.3279
200,26.6503,16,0.3234
201,27.805,14,0.3264
202,29.7808,12,0.3358
203,32.222,10,0.3513
204,35.2382,9,0.3694
205,38.9832,9,0.3905
206,43.2872,9,0.4148
207,47.8267,9,0.4404
208,52.5871,9,0.4651
209,57.5525,10,0.4888
210,62.7064,12,0.5113
211,67.2302,15,0.5327
212,70.0264,19,0.55
213,69.912,25,0.5601
214,66.0516,31,0.5597
215,57.6373,35,0.5456
216,47.2217,36,0.5117
217,38.342,35,0.462
218,32.4027,31,0.4108
219,28.7926,26,0.3707
220,27.1902,22,0.3436
221,27.0153,18,0.3308
222,27.7199,15,0.3294
223,29.251,13,0.3351
224,31.4451,11,0.3472
225,34.1654,10,0.3638
226,37.5424,9,0.3832
227,41.3956,9,0.4057
228,45.835,9,0.4294
229,50.5017,9,0.4546
230,55.3804,10,0.4787
231,60.4548,12,0.5017
232,64.9484,14,0.5236
233,67.8098,18,0.5415
234,68.7915,23,0.5522
235,66.0354,28,0.5557
236,59.3549,33,0.5456
237,50.5232,35,0.519
238,41.4694,35,0.4788
239,34.789,31,0.4299
240,30.4243,27,0.3875
241,28.4474,23,0.3562
242,27.8527,19,0.3409
243,28.2547,16,0.3362
244,29.533,14,0.3394
245,31.4776,12,0.3494
246,33.9233,11,0.364
247,36.9808,10,0.3815
248,40.4518,10,0.402
249,44.4278,10,0.4238
250,48.5489,10,0.4468
251,52.7957,10,0.4689
252,57.1489,11,0.4898
253,61.5894,13,0.5096
254,65.318,16,0.5283
255,67.3182,21,0.5429
256,66.5551,26,0.5504
257,61.4999,31,0.5475
258,53.5413,34,0.5279
259,44.5999,34,0.4933
260,37.2232,32,0.4478
261,32.4082,28,0.4036
262,29.6616,24,0.3708
263,28.6104,20,0.3504
264,28.6934,17,0.3422
265,29.7102,15,0.3428
266,31.4008,13,0.3507
267,33.5726,12,0.3634
268,36.3168,11,0.379
269,39.4205,10,0.3977
270,42.9596,10,0.4175
271,47.03,10,0.4385
272,51.2333,10,0.4609
273,55.5499,11,0.4823
274,59.9607,13,0.5025
275,63.6965,16,0.5216
276,65.7711,19,0.5366
277,65.171,24,0.5446
278,62.0886,28,0.5423
279,55.5422,32,0.5303
280,47.8969,33,0.5025
281,40.3535,32,0.4655
282,34.8988,29,0.4232
283,31.4739,26,0.3882
284,29.7956,22,0.364
285,29.2216,19,0.3514
286,29.7127,16,0.347
287,30.9029,14,0.3507
288,32.8146,12,0.3597
289,35.2574,11,0.3737
290,38.3423,10,0.3906
291,41.8528,10,0.4108
292,45.8828,10,0.4321
293,50.051,10,0.4548
294,54.338,11,0.4764
295,58.7245,13,0.497
296,62.4639,15,0.5164
297,64.5931,18,0.5318
298,64.9524,23,0.5401
299,62.7491,27,0.5415
300,56.8404,31,0.5329
301,49.4891,32,0.5082
302,41.9479,32,0.4736
303,36.3981,30,0.4327
304,32.5455,26,0.3982
305,30.3433,23,0.3718
306,29.68,19,0.3555
307,29.8737,17,0.3505
308,31.0536,14,0.352
309,32.6923,13,0.3609
310,35.1356,12,0.3728
311,37.8895,11,0.3898
312,41.0163,10,0.4079
313,44.5939,10,0.4272
314,48.7206,10,0.4478
315,52.9722,11,0.4697
316,57.3293,12,0.4906
317,61.0708,14,0.5104
318,64.0308,17,0.5262
319,65.2636,21,0.5379
320,63.8663,26,0.5427
321,59.3448,30,0.5373
322,51.9946,32,0.519
323,44.2012,32,0.486
324,37.9158,31,0.4456
325,33.6164,28,0.4081
326,30.8519,24,0.3793
327,29.5718,21,0.3594
328,29.5302,17,0.3497
329,30.2368,15,0.3493
330,31.9079,13,0.3547
331,34.0721,12,0.3671
332,36.8201,11,0.3825
333,39.9319,10,0.401
334,43.4839,10,0.4206
335,47.5727,10,0.4415
336,51.7919,10,0.4638
337,56.122,12,0.485
338,60.5437,14,0.505
339,63.5159,17,0.524
340,64.7816,21,0.5359
341,63.4433,25,0.5408
342,59.0045,29,0.5356
343,52.4823,31,0.5176
344,45.1427,31,0.4883
345,39.0311,31,0.4508
346,34.7836,28,0.4151
347,31.7143,24,0.3874
348,30.2627,21,0.3657
349,30.1282,18,0.3549
350,30.7798,15,0.3539
351,32.1645,14,0.3588
352,34.3245,12,0.369
353,36.7577,11,0.3843
354,39.8684,11,0.4006
355,43.4188,11,0.4203
356,47.0457,11,0.4412
357,50.7289,11,0.461
358,54.449,12,0.4798
359,58.1877,14,0.4975
360,61.2102,16,0.5141
361,62.6194,19,0.5267
362,62.3415,23,0.5324
363,59.7066,27,0.5313
364,54.4927,30,0.5205
365,47.8174,31,0.4977
366,41.3692,31,0.4651
367,36.4304,28,0.4293
368,32.9168,25,0.3985
369,31.2182,22,0.3744
370,30.6796,19,0.3621
371,31.0152,16,0.3581
372,32.1186,14,0.3606
373,33.9952,13,0.3687
374,36.431,12,0.382
375,39.1882,11,0.3985
376,42.3301,11,0.4161
377,45.9359,11,0.4349
378,49.604,11,0.4551
379,53.3148,12,0.4742
380,57.0497,13,0.4922
381,60.0942,15,0.5091
382,62.3234,18,0.5221
383,62.8696,22,0.5312
384,60.957,26,0.5334
385,56.229,29,0.5257
386,49.7375,31,0.5055
387,43.246,31,0.4749
388,37.7324,29,0.4402
389,33.8561,26,0.4069
390,31.649,23,0.381
391,30.7653,20,0.3653
392,30.8265,17,0.3587
393,31.6772,15,0.3592
394,33.2893,13,0.3655
395,35.4286,12,0.377
396,38.1836,11,0.3918
397,41.3142,11,0.4098
398,44.8984,11,0.429
399,48.5508,11,0.4494
400,52.2514,11,0.4689
401,55.9812,13,0.4872
402,59.7226,15,0.5044
403,61.9669,18,0.5206
404,62.5418,21,0.5298
405,60.6744,25,0.5321
406,56.7693,28,0.5245
407,50.8227,30,0.5079
408,44.5849,30,0.4803
409,39.1299,29,0.4477
410,35.2441,27,0.4157
411,32.713,24,0.3905
412,31.3497,20,0.373
413,31.0637,18,0.3631
414,31.8947,16,0.3609
415,33.2162,14,0.3671
416,35.0568,12,0.3765
417,37.4828,12,0.3893
418,40.6042,11,0.4053
419,43.7585,11,0.4247
420,47.3915,11,0.4431
421,51.079,11,0.4628
422,54.8016,12,0.4815
423,58.5411,14,0.4991
424,61.5565,17,0.5156
425,62.9446,20,0.5281
426,61.8279,24,0.5337
427,58.4875,28,0.5292
428,52.823,30,0.5154
429,45.9974,31,0.4899
430,40.1138,30,0.4554
431,35.5497,27,0.4217
432,32.6107,24,0.3926
433,31.2672,21,0.3722
434,30.993,18,0.3624
435,31.5617,16,0.3604
436,32.9027,14,0.3646
437,34.7539,13,0.3743
438,37.1831,12,0.3872
439,39.9403,11,0.4034
440,43.0892,11,0.4207
441,46.7099,11,0.4393
442,50.3888,11,0.4592
443,54.1062,12,0.4781
444,57.8439,14,0.4959
445,60.8733,16,0.5126
446,62.3028,20,0.5253
447,62.0565,23,0.5311
448,58.6764,27,0.5301
449,53.6933,30,0.5162
450,47.2444,30,0.494
451,40.9754,30,0.4621
452,36.5749,28,0.4269
453,33.3721,25,0.3994
454,31.5777,22,0.3776
455,30.9828,19,0.3647
456,31.2846,16,0.3603
457,32.3691,14,0.3626
458,34.2379,13,0.3705
459,36.6717,12,0.3837
460,39.4291,11,0.4
461,42.5733,11,0.4176
462,46.184,11,0.4363
463,49.8557,11,0.4564
464,53.5687,12,0.4755
465,57.3046,13,0.4934
466,60.3443,16,0.5103
467,62.5633,19,0.5232
468,62.291,23,0.5322
469,59.664,26,0.5311
470,54.4597,29,0.5203
471,48.4441,30,0.4975
472,42.3428,30,0.4683
473,37.55,29,0.435
474,34.0907,25,0.4057
475,31.8296,22,0.3827
476,31.1948,19,0.3666
477,31.4727,17,0.3619
478,32.5439,15,0.364
479,34.1166,13,0.3717
480,36.238,12,0.3828
481,38.995,12,0.3972
482,42.1349,11,0.4149
483,45.298,11,0.4338
484,48.9567,11,0.4516
485,52.6614,12,0.4709
486,56.3933,13,0.4891
487,59.4498,16,0.5063
488,61.705,19,0.5194
489,61.518,22,0.5287
490,59.0108,26,0.528
491,54.6861,28,0.5176
492,48.61,30,0.4986
493,43.0064,30,0.4692
494,38.02,28,0.4388
495,34.4353,25,0.4087
496,32.4125,22,0.385
497,31.6839,20,0.3708
498,31.906,17,0.3655
499,32.6646,15,0.3671
500,34.2317,15,0.3726
